id,restaurant_id,star,comment
20,200.0,5.0,"['양파', '스프', '에스카르고', '부야베스', '스타일', '달고기', '파인애플', '럼블', '아이스크림', '크림', '브륄레', '생또노레', '글라스', '레드', '와인', '주문', '와인', '디켄딩잔', '제공', '센스', '좋았습니다', '차도', '앙증맞고', '귀여운', '찻잔', '여직원', '정말', '친절하셨어요', '산뜻하게', '맞이', '필요한', '기전', '손수', '편안하게', '식사', '양파', '스프', '정말', '맛있었어요', '이해', '맛있게', '식전', '직접', '식전', '찰떡', '에스카르고', '맛있었어요', '크런치', '한식', '좋았고', '쫀득', '달팽이', '맛있었구요', '부야베스', '스타일', '달고기', '처음', '요리', '고기', '텁텁함', '소스', '짭짤한게', '난해하더라구요', '맛없었습니다', '호기심', '주기', '좋았어요', '파인애플', '럼블', '아이스크림', '파인애플', '젤리', '럼블', '식감', '시원한', '아이스크림', '인상', '크림브륄레', '약간', '카라멜', '크림', '브륄레', '부드럽고', '은은한', '독특했어요', '생또노레', '얇은', '과자', '사이', '달콤한', '크림', '미니', '슈가', '맛있어서', '탄성', '로나', '디저트', '무지', '맛있었습니다', '음식', '맛있었지만', '여직원', '친절함', '덕분', '기분', '좋게', '식사', '방문', '맛있게']"
21,200.0,4.0,"['양파', '스프', '맛있어요']"
22,200.0,5.0,['최고']
23,200.0,5.0,['맛있어요']
24,200.0,5.0,"['직원', '정말', '친절하시고', '음식', '맛있음', '고기', '기지', '부드러워서', '정말', '맛있게', '고기', '정말', '굳이', '맛있음', '바게트', '생또노레', '맛있었음', '생또노레', '크림', '맛있음']"
25,200.0,4.0,"['분위기', '매우', '좋아요', '기념일', '한번', '좋을듯', '평범한', '같아요']"
26,200.0,4.0,"['아늑한', '분위기', '기교', '편하게', '있는', '음식', '메뉴', '맛있지만', '조금', '진한', '느낌', '사람', '조금', '있어', '앙트레', '메인', '디저트', '조합', '추천']"
27,200.0,5.0,"['맛있었어요', '어니언', '스프', '돼지', '등심', '스테이크', '달고기', '스튜', '독특하면서도', '맛깔났어요', '방문', '의사', '있습니다']"
28,200.0,4.0,"['방문', '기억', '좋아', '다시', '방문', '일행', '정말', '행복해하며', '맛있게', '입맛', '변한', '예전', '맛있지는', '뭔가', '풍부함보다', '간이', '느끼해졌다는', '느낌', '좌석', '약간', '좁고', '불편해졌지만', '여전히', '분위기', '좋고', '서빙', '분도', '정말', '친절한', '타투', '낮은', '목소리', '여자', '정말', '멋있으시다', '버터', '요청', '다시', '동행인', '강추']"
29,200.0,5.0,"['프랑스', '여행가', '음식', '방문', '만족스러웠습니다']"
30,200.0,5.0,"['정통', '프렌치', '셰프', '멋진', '비스트', '다양한', '프랑스', '와인', '리스트']"
31,200.0,5.0,"['진정한', '프렌치', '식당']"
32,200.0,3.0,"['오리', '가슴', '스테이크', '달고기', '요리', '담백하고', '깔끔했지만', '특색', '분위기', '아기자기하고', '데이트', '장소', '좋을', '같아요']"
